Nº DO LOTE;ENTRADA DE SAL EM FINO;ESTOQUE DE SAL EM FINO AU;DATA DA ENTREGA;Nº DO PEDIDO;data;NOME DO CLIENTE ; PEDIDOS EM FINO ; SEDEX ;AMOSTRAS E TESTES; PAGAMENTO DE TEOR ; PEDIDOS EM SAL ;METAL EM SAL;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1094;;407,94;30/10/2020;;;;;;;;;599,6718;;;;;;;;
1094;;392,94;;29461;03/nov;GEMAS DO MUNDO; 15,00 ;;;; 22,05 ;577,6218;;;;;;;;
1094;;352,94;;29462;03/nov;CONTRESS; 40,00 ;;;; 58,80 ;518,8218;;;;;;;;
1094;;284,91;;29463;04/nov;FENIX; 68,03 ;;;; 100,00 ;418,82211;;;;;;;;
1094;;272,91;;29464;04/nov;AMON; 12,00 ;;;; 17,64 ;401,18211;;;;;;;;
1094;;257,91;;29465;04/nov;MICHESTER; 15,00 ;;;; 22,05 ;379,13211;;;;;;;;
1094;;237,11;;29466;05/nov;ELECTRO; 5,80 ;;; 15,00 ; 30,58 ;348,55611;;;;;;;;
1094;;197,11;09/11/2020;29467;09/nov;briLHARTY; 40,00 ;;;; 58,80 ;289,75611;;;;;;;;
1094;;177,11;;29468;09/nov;PELEGRINO; 20,00 ;;;; 29,40 ;260,35611;;;;;;;;
1094;;127,11;;29469;set/44;MIX METAIS; 50,00 ;;;; 73,50 ;186,85611;;;;;;;;
1094;;117,11;;29470;10/nov;correa; 10,00 ;;;; 14,70 ;172,15611;;;;;;;;
1094;;97,11;;29471;10/nov;PAULO BRUM; 20,00 ;;;; 29,40 ;142,75611;;;;;;;;
1094;;82,11;;29472;10/nov;MICHESTER; 15,00 ;;;; 22,05 ;120,70611;;;;;;;;
1094;;82,11;;29473;;cancelado;;;;; -   ;120,70611;;;;;;;;
1094;;42,11;;29474;10/nov;Ricardo Puzzuolli; 40,00 ;;;; 58,80 ;61,90611;;;;;;;;
1094;;32,11;;29475;11/nov;FOUR METALIC; 10,00 ;;;; 14,70 ;47,20611;;;;;;;;
1095; 1.026,60 ;-552,89;11/11/2020;29476;11/nov;BRUNA; 585,00 ;;;; 859,95 ;-812,74389;;;;;;;;
1095;;405,68;;29477;11/nov;FENIX; 68,03 ;;;; 100,00 ;596,35642;;;;;;;;
1095;;357,18;;29478;11/nov;HECTOR; 48,50 ;;;; 71,30 ;525,06142;;;;;;;;
1095;;349,18;;29479;11/nov;AMON; 8,00 ;;;; 11,76 ;513,30142;;;;;;;;
1095;;329,18;;29480;11/nov;SOLANGE LOPES; 20,00 ;;;; 29,40 ;483,90142;;;;;;;;
1095;;319,18;;29481;11/nov;Correa; 10,00 ;;;; 14,70 ;469,20142;;;;;;;;
1096;1502,857143;289,18;16/11/2020;29482;11/nov;Paulo Brum; 30,00 ;;;; 44,10 ;425,10142;;;;;;;;
1096;;764,58;;29483;11/nov;Bruna; 1.027,46 ;;;; 1.510,37 ;1123,93522;;;;;;;;
1096;;759,58;;29484;11/nov;Diacomo; 5,00 ;;;; 7,35 ;1116,58522;;;;;;;;
